ID,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10,MS11,Attendance,Score
Student 1,3,3,3,3,3,2,4,1,0,1,1,6,24
Student 2,3,3,2,3,3,3,4,1,1,0,0,6,23
Student 3,3,3,3,3,3,3,4,0,0,0,0,6,22
Student 4,3,3,1,1,3,2,4,1,0,1,0,6,19
Student 5,3,2,3,2,3,2,4,0,0,0,0,5,19
Student 6,3,3,2,2,3,2,3,0,0,0,0,5,18
Student 7,3,3,2,0,3,2,4,0,0,0,0,5,17
Student 8,3,3,0,3,3,1,4,0,0,0,0,6,17
Student 9,3,3,1,2,1,1,4,0,0,0,0,5,15
Student 10,3,3,0,1,2,3,2,0,0,0,0,5,14
Student 11,2,3,0,2,0,0,1,0,0,0,0,2,8
Student 12,3,3,0,0,1,0,0,0,0,0,0,5,7
Student 13,3,3,1,0,0,0,0,0,0,0,0,3,7
Student 14,3,0,0,0,3,0,0,0,0,0,0,2,6
Student 15,3,3,0,0,0,0,0,0,0,0,0,3,6
Student 16,3,0,1,0,1,0,0,0,0,0,0,2,5
Student 17,3,0,0,0,1,0,0,0,0,0,0,4,4
