ID,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10,MS11,Attendance,Score
Student 1,3,3,3,2,1,2,4,1,1,1,1,5,22
Student 2,3,3,3,1,3,1,4,1,1,0,0,6,20
Student 3,3,2,1,3,3,1,4,1,1,1,0,6,20
Student 4,2,3,1,2,3,3,3,0,0,0,0,5,17
Student 5,3,3,3,2,3,2,0,0,0,0,0,5,16
Student 6,2,2,0,1,3,3,4,0,0,0,0,6,15
Student 7,3,3,0,0,3,3,2,0,0,0,0,6,14
Student 8,2,0,0,0,3,1,4,1,1,1,0,6,13
Student 9,2,2,0,3,3,3,0,0,0,0,0,6,13
Student 10,0,3,3,2,3,2,0,0,0,0,0,5,13
Student 11,3,3,0,2,3,2,0,0,0,0,0,6,13
Student 12,3,3,1,1,3,1,0,0,0,0,0,6,12
Student 13,3,3,0,1,3,2,0,0,0,0,0,4,12
Student 14,2,0,0,2,3,1,3,1,0,0,0,5,12
Student 15,2,3,0,3,3,1,0,0,0,0,0,4,12
Student 16,2,2,3,2,1,1,0,0,0,0,0,2,11
Student 17,3,0,0,0,3,2,3,0,0,0,0,3,11
Student 18,1,3,1,0,3,3,0,0,0,0,0,6,11
Student 19,3,2,0,0,3,2,0,0,0,0,0,6,10
Student 20,2,3,0,1,3,1,0,0,0,0,0,4,10
Student 21,3,3,0,0,3,1,0,0,0,0,0,3,10
Student 22,2,1,0,1,3,2,0,0,0,0,0,6,9
Student 23,3,3,0,0,2,1,0,0,0,0,0,3,9
Student 24,2,2,0,1,2,2,0,0,0,0,0,5,9
Student 25,2,2,0,2,2,1,0,0,0,0,0,4,9
Student 26,3,0,0,1,3,1,0,0,0,0,0,6,8
Student 27,3,1,0,2,1,1,0,0,0,0,0,5,8
Student 28,3,3,0,0,1,1,0,0,0,0,0,5,8
Student 29,0,3,0,0,2,2,0,0,0,0,0,2,7
Student 30,3,2,0,0,1,1,0,0,0,0,0,5,7
Student 31,3,1,0,0,1,1,0,0,0,0,0,5,6
Student 32,0,0,0,0,0,0,2,1,1,0,0,3,4
Student 33,2,2,0,0,0,0,0,0,0,0,0,3,4
Student 34,3,0,0,0,0,1,0,0,0,0,0,2,4
Student 35,2,0,0,0,2,0,0,0,0,0,0,5,4
Student 36,2,0,0,0,0,0,0,0,0,0,0,3,2
Student 37,1,0,0,0,0,0,0,0,0,0,0,5,1
Student 38,0,0,0,0,0,0,0,0,0,0,0,1,0
